s3BucketName,date,spaceUsed
schminkel-email-thorsten-schminkel-digital,2026-02-22,654017
schminkel-ente,2026-02-22,2995293104
schminkel-favicon-bucket,2026-02-22,294839
schminkel-lambda-layer,2026-02-22,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-22,1208758227
schminkel-payload-3.0,2026-02-22,62745372
schminkel-payload-demo-3.0,2026-02-22,0
schminkel-payload-digital,2026-02-22,42663578
schminkel-payload-financials,2026-02-22,2764837
schminkel-payload-financials-dev,2026-02-22,2758654
schminkel-payload-financials-local,2026-02-22,2778017
schminkel-payload-lightgallery,2026-02-22,405906771
schminkel-payload-lightgallery-dev,2026-02-22,482610112
schminkel-photo-gallery,2026-02-22,119778256
schminkel-photo-net,2026-02-22,80255909
schminkel-photos,2026-02-22,1766315955
schminkel-public,2026-02-22,2005363
schminkel-test-lambda-bucket,2026-02-22,43293554
schminkel-transcribe-audio-input-bucket,2026-02-22,15690254
schminkel-transcribe-audio-output-bucket,2026-02-22,178578
schminkel-transcription,2026-02-22,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-22,1023336
all,2026-02-22,23587736027
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-23,19983504
capgemini-s3,2026-02-23,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-23,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-23,86076714
coolify-raspi5-02,2026-02-23,0
coolify-scraper-backup,2026-02-23,6505591
docker-volume-backup-coolify-6,2026-02-23,4375843248
docker-volume-backup-open-webui-raspi2,2026-02-23,3404287626
docker-volume-backup-owncloud-raspi2,2026-02-23,1086438185
docker-volume-backup-paperless-raspi2,2026-02-23,46141034
nextcloud.xtra.tools,2026-02-23,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-23,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-23,1002551
schminkel-chatbot-files,2026-02-23,30904152
schminkel-comfyui,2026-02-23,23213253
schminkel-coolify-116.203.89.76,2026-02-23,0
schminkel-coolify-5.75.142.123,2026-02-23,21259489
schminkel-coolify-91.99.8.91,2026-02-23,52390192
schminkel-coolify-94.130.56.167,2026-02-23,304330503
schminkel-de,2026-02-23,2124123203
schminkel-de-2026,2026-02-23,12151665
schminkel-de-backups,2026-02-23,4669335505
schminkel-digital,2026-02-23,19412748
schminkel-dynamodb-exports,2026-02-23,5116
schminkel-email,2026-02-23,504263
schminkel-email-plaintext,2026-02-23,29155
schminkel-email-thorsten-schminkel-digital,2026-02-23,654017
schminkel-ente,2026-02-23,2995293104
schminkel-favicon-bucket,2026-02-23,294839
schminkel-lambda-layer,2026-02-23,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-23,1208758227
schminkel-payload-3.0,2026-02-23,62745372
schminkel-payload-demo-3.0,2026-02-23,0
schminkel-payload-digital,2026-02-23,42663578
schminkel-payload-financials,2026-02-23,2764837
schminkel-payload-financials-dev,2026-02-23,2758654
schminkel-payload-financials-local,2026-02-23,2778017
schminkel-payload-lightgallery,2026-02-23,405906771
schminkel-payload-lightgallery-dev,2026-02-23,482610112
schminkel-photo-gallery,2026-02-23,119778256
schminkel-photo-net,2026-02-23,80255909
schminkel-photos,2026-02-23,1766315955
schminkel-public,2026-02-23,2005363
schminkel-test-lambda-bucket,2026-02-23,43293554
schminkel-transcribe-audio-input-bucket,2026-02-23,15690254
schminkel-transcribe-audio-output-bucket,2026-02-23,178578
schminkel-transcription,2026-02-23,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-23,1023336
all,2026-02-23,23589364779
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-24,19983504
capgemini-s3,2026-02-24,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-24,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-24,86076714
coolify-raspi5-02,2026-02-24,0
coolify-scraper-backup,2026-02-24,6505591
docker-volume-backup-coolify-6,2026-02-24,4384233579
docker-volume-backup-open-webui-raspi2,2026-02-24,3404287628
docker-volume-backup-owncloud-raspi2,2026-02-24,1113787858
docker-volume-backup-paperless-raspi2,2026-02-24,46141027
nextcloud.xtra.tools,2026-02-24,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-24,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-24,1002551
schminkel-chatbot-files,2026-02-24,30904152
schminkel-comfyui,2026-02-24,23213253
schminkel-coolify-116.203.89.76,2026-02-24,0
schminkel-coolify-5.75.142.123,2026-02-24,21259489
schminkel-coolify-91.99.8.91,2026-02-24,52221890
schminkel-coolify-94.130.56.167,2026-02-24,304330503
schminkel-de,2026-02-24,2124127517
schminkel-de-2026,2026-02-24,12151665
schminkel-de-backups,2026-02-24,4669335505
schminkel-digital,2026-02-24,19412748
schminkel-dynamodb-exports,2026-02-24,5116
schminkel-email,2026-02-24,504263
schminkel-email-plaintext,2026-02-24,29155
schminkel-email-thorsten-schminkel-digital,2026-02-24,654017
schminkel-ente,2026-02-24,2995293104
schminkel-favicon-bucket,2026-02-24,294839
schminkel-lambda-layer,2026-02-24,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-24,1208758227
schminkel-payload-3.0,2026-02-24,62745372
schminkel-payload-demo-3.0,2026-02-24,0
schminkel-payload-digital,2026-02-24,42663578
schminkel-payload-financials,2026-02-24,2764837
schminkel-payload-financials-dev,2026-02-24,2758654
schminkel-payload-financials-local,2026-02-24,2778017
schminkel-payload-lightgallery,2026-02-24,405906771
schminkel-payload-lightgallery-dev,2026-02-24,482610112
schminkel-photo-gallery,2026-02-24,119778256
schminkel-photo-net,2026-02-24,80255909
schminkel-photos,2026-02-24,1766315955
schminkel-public,2026-02-24,2005363
schminkel-test-lambda-bucket,2026-02-24,43293554
schminkel-transcribe-audio-input-bucket,2026-02-24,15690254
schminkel-transcribe-audio-output-bucket,2026-02-24,178578
schminkel-transcription,2026-02-24,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-24,1023336
